,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
3200,Tweet,3rdeyeonthemoon,10,29,0,358,,,,3rdeyeonthemoon,221978,115063,1484,86864,,,
3201,Tweet,CrimsonTie,48,77,2,430,,,,CrimsonTie,221978,115063,1484,86864,,,
3202,Tweet,MikeGMiller11,21,114,0,58,,,,MikeGMiller11,221978,115063,1484,86864,,,
3203,Tweet,Capitan_Waffles,100,593,2,4677,,,,Capitan_Waffles,221978,115063,1484,86864,,,
3204,Tweet,Court_A_Harris,69,139,0,1087,,,,Court_A_Harris,221978,115063,1484,86864,,,
3205,RT,aimeecoleman888,322,648,32,9379,,,,BernTheDNC1,62,193,0,45,,,
3206,RT,Boondoggle_Lane,0,89,0,122,,,,jablan,1976,1577,301,49393,,,
3207,Tweet,ReneeB_75,1622,4988,27,203282,,,,ReneeB_75,1976,1577,301,49393,,,
3208,Tweet,jablan,1976,1577,301,49393,,,,jablan,1976,1577,301,49393,,,
3209,Tweet,Court_A_Harris,69,139,0,1087,,,,Court_A_Harris,1976,1577,301,49393,,,
3210,RT,litahart72,2603,4955,100,65263,,,,riseoftheleft,475,1718,26,24333,,,
3211,Tweet,WnnWnn1,25,53,0,368,,,,WnnWnn1,475,1718,26,24333,,,
3212,Tweet,riseoftheleft,475,1718,26,24333,,,,riseoftheleft,475,1718,26,24333,,,
3213,Tweet,AmaniSchneider1,131,307,3,4641,,,,AmaniSchneider1,475,1718,26,24333,,,
3214,Tweet,SupremeKaiKai,39,256,0,971,,,,SupremeKaiKai,475,1718,26,24333,,,
3215,RT,BENJIPK407445,171,710,0,2297,,,,WACKNIGHTMARE,186,1321,0,8,,,
3216,RT,HappyandFree2B,654,1027,1,3314,,,,freenaynow,46932,51280,45,290635,,,
3217,Tweet,sigmaseisas,2343,905,307,473,,,,sigmaseisas,46932,51280,45,290635,,,
3218,Tweet,willowtreeapps,2634,776,201,2576,,,,willowtreeapps,46932,51280,45,290635,,,
3219,Tweet,rickycoxon,58,256,0,319,,,,rickycoxon,46932,51280,45,290635,,,
3220,Tweet,thegrandheart,4,17,0,1179,,,,thegrandheart,46932,51280,45,290635,,,
3221,Tweet,222TwoTwentyTwo,1079,1312,14,16215,,,,222TwoTwentyTwo,46932,51280,45,290635,,,
3222,Tweet,youngbards101,24,164,0,1017,,,,youngbards101,46932,51280,45,290635,,,
3223,Tweet,jdrod_25,88,981,2,10461,,,,jdrod_25,46932,51280,45,290635,,,
