,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
2847,RT,seekstruth2,3357,3251,201,73724,,,,philosophrob,25220,1470,104,3563,,,
2848,Tweet,EpsteinWas,31,291,0,323,,,,EpsteinWas,25220,1470,104,3563,,,
2849,RT,MieczynskyjT,2285,2767,1,122356,,,,Americasian1,8731,7078,2,10264,,,
2850,RT,carmic14,4015,4995,398,226621,,,,Mom_Of_Critters,6,62,0,260,,,
2851,RT,savetrump1,12126,13336,4,94221,,,,DanMuskin,50588,28619,27,1488,,,
2852,Tweet,BernieBroAaron,45,147,0,1076,,,,BernieBroAaron,50588,28619,27,1488,,,
2853,Tweet,Trump__Train__,172,75,4,2595,,,,Trump__Train__,50588,28619,27,1488,,,
2854,RT,HumanRa88554680,4666,5059,2,14672,,,,DanMuskin,50588,28619,27,1488,,,
2855,Tweet,PiratePizzaNola,130,261,2,811,,,,PiratePizzaNola,50588,28619,27,1488,,,
2856,Tweet,AaronKenawell92,151,280,6,2476,,,,AaronKenawell92,50588,28619,27,1488,,,
2857,Tweet,JediSetanaoko,7,21,0,112,,,,JediSetanaoko,50588,28619,27,1488,,,
2858,Tweet,DuganFire,11374,11888,59,21701,,,,DuganFire,50588,28619,27,1488,,,
2859,RT,mrmihalus,813,2200,201,182573,,,,blakeleymusic,2000,441,18,15905,,,
2860,Tweet,AaronKenawell92,151,280,6,2476,,,,AaronKenawell92,2000,441,18,15905,,,
2861,RT,Martsmac,208,903,9,3242,,,,LiamStenson93,30,108,0,5212,,,
2862,Tweet,cjrosey4,772,884,47,20546,,,,cjrosey4,30,108,0,5212,,,
2863,Tweet,jenjajeh,1528,682,10,4158,,,,jenjajeh,30,108,0,5212,,,
2864,RT,jimbl0b,54,913,0,1639,,,,bruhhnope,161,416,1,780,,,
2865,Tweet,Mom_Of_Critters,6,62,0,260,,,,Mom_Of_Critters,161,416,1,780,,,
2866,Tweet,Naveenics,401,582,7,9018,,,,Naveenics,161,416,1,780,,,
2867,Tweet,lechedecocomami,298,762,2,3877,,,,lechedecocomami,161,416,1,780,,,
2868,Tweet,marianrich,703,1486,13,7068,,,,marianrich,161,416,1,780,,,
2869,RT,StanleyKwiecien,91,62,0,18831,,,,TeamTrump,1458219,101,3451,18565,,,
2870,Tweet,Jeremy_Rahl32,365,284,8,5425,,,,Jeremy_Rahl32,1458219,101,3451,18565,,,
2871,Tweet,jenmarietruth,284,765,0,2014,,,,jenmarietruth,1458219,101,3451,18565,,,
2872,Tweet,NeedForReview,224,399,4,2867,,,,NeedForReview,1458219,101,3451,18565,,,
2873,Tweet,ACA_Sherpa,496,598,15,5324,,,,ACA_Sherpa,1458219,101,3451,18565,,,
2874,Tweet,doctor_drangus,0,49,0,27,,,,doctor_drangus,1458219,101,3451,18565,,,
2875,Tweet,TheMikeIsmail,1181,1150,33,27733,,,,TheMikeIsmail,1458219,101,3451,18565,,,
2876,Tweet,enohp660,117,242,0,8915,,,,enohp660,1458219,101,3451,18565,,,
2877,Tweet,HipHoopin,2016,3652,12,10298,,,,HipHoopin,1458219,101,3451,18565,,,
2878,RT,NoSpunZone,83,497,0,1292,,,,OurTurnToRescue,3419,3781,76,27307,,,
2879,Tweet,LiamStenson93,30,108,0,5212,,,,LiamStenson93,3419,3781,76,27307,,,
2880,Tweet,al_honz,40,177,0,1087,,,,al_honz,3419,3781,76,27307,,,
2881,RT,noblin_h,3670,4983,3,19503,,,,AnnInquirer,21552,17245,26,77215,,,
2882,Tweet,NottaLemming,2767,2843,3,4061,,,,NottaLemming,21552,17245,26,77215,,,
2883,Tweet,Can_Do_People,6026,1459,61,41097,,,,Can_Do_People,21552,17245,26,77215,,,
2884,Tweet,jenmarietruth,284,765,0,2014,,,,jenmarietruth,21552,17245,26,77215,,,
2885,RT,truthglow,17968,18443,909,811528,,,,philosophrob,25220,1470,104,3563,,,
