,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
1292,RT,M4D4T,12,81,0,725,,,,StatusCoup,19123,2805,148,3756,,,
1293,RT,DSA_Dayton,254,187,2,629,,,,RevJJackson,163491,12049,1520,50019,,,
1294,Tweet,positmarket,792,1497,73,4414,,,,positmarket,163491,12049,1520,50019,,,
1295,RT,NIQUEDREAMS,53,709,1,2624,,,,RevJJackson,163491,12049,1520,50019,,,
1296,RT,sheisartmoney,21676,18248,150,44836,,,,RevJJackson,163491,12049,1520,50019,,,
1297,RT,kefran2a,881,2358,26,46968,,,,RevJJackson,163491,12049,1520,50019,,,
1298,RT,DartezKathleen,807,1711,64,28363,,,,RevJJackson,163491,12049,1520,50019,,,
1299,RT,SullivanMonty,1238,2193,24,205834,,,,DrRobDavidson,26827,2180,132,2819,,,
1300,RT,esanchezvela,131,350,4,2156,,,,RevJJackson,163491,12049,1520,50019,,,
1301,RT,E_Lee_T,3021,4995,52,27551,,,,DrJillStein,270508,1660,3648,13798,,,
1302,RT,DocCrackles,1032,1541,2,12431,,,,RevJJackson,163491,12049,1520,50019,,,
1303,RT,quickdrawartist,332,534,28,7109,,,,RevJJackson,163491,12049,1520,50019,,,
1304,RT,bestowaways,15,61,0,1071,,,,RevJJackson,163491,12049,1520,50019,,,
1305,RT,cbickle,144,140,8,5840,,,,RevJJackson,163491,12049,1520,50019,,,
1306,RT,RadishSam,90,320,0,960,,,,DrJillStein,270508,1660,3648,13798,,,
1307,RT,MosesZaree,591,1269,70,27549,,,,RevJJackson,163491,12049,1520,50019,,,
1308,RT,felixlouisB,38,200,0,1081,,,,RevJJackson,163491,12049,1520,50019,,,
1309,RT,SOCALSIVAN,1890,5002,53,104465,,,,RevJJackson,163491,12049,1520,50019,,,
1310,RT,f5ocie7y,69,367,0,6796,,,,RevJJackson,163491,12049,1520,50019,,,
1311,RT,Lisackirk2,5,33,0,7,,,,RevJJackson,163491,12049,1520,50019,,,
1312,RT,amirhimself,5452,886,86,216101,,,,RevJJackson,163491,12049,1520,50019,,,
1313,RT,whattheplucked,2939,1228,103,288326,,,,RevJJackson,163491,12049,1520,50019,,,
1314,RT,oldsmobi11iam,20,166,0,139,,,,StatusCoup,19123,2805,148,3756,,,
1315,RT,JARME,108,44,2,53146,,,,michaeljohns,206728,140306,2101,24477,,,
1316,RT,OldSaukRiver,4097,5003,306,194326,,,,RevJJackson,163491,12049,1520,50019,,,
1317,RT,be_elzabozo,1283,3448,1,28734,,,,RevJJackson,163491,12049,1520,50019,,,
1318,RT,bja222,5333,5308,92,11657,,,,RoseAnnDeMoro,56063,1665,772,15611,,,
1319,Tweet,PhilReedKCRG,746,474,9,2662,,,,PhilReedKCRG,56063,1665,772,15611,,,
1320,RT,TravzzzWorld,236,758,15,10955,,,,RevJJackson,163491,12049,1520,50019,,,
1321,RT,PenguinOnDTelly,931,1114,0,4398,,,,RevJJackson,163491,12049,1520,50019,,,
1322,RT,JoeAverageGroup,587,1411,30,6040,,,,DrRobDavidson,26827,2180,132,2819,,,
1323,RT,fictionposter,276,817,8,40593,,,,RevJJackson,163491,12049,1520,50019,,,
1324,RT,SomeBadADR,370,3511,10,22569,,,,RevJJackson,163491,12049,1520,50019,,,
1325,RT,_miraoffthewall,166,179,3,2804,,,,RevJJackson,163491,12049,1520,50019,,,
1326,RT,adrianlitvinoff,736,679,21,34208,,,,RevJJackson,163491,12049,1520,50019,,,
1327,RT,faridalvie,5084,559,84,110685,,,,RevJJackson,163491,12049,1520,50019,,,
1328,RT,mrswhite05,71,587,0,4199,,,,RevJJackson,163491,12049,1520,50019,,,
1329,Tweet,MyriamYele,1243,852,2,7910,,,,MyriamYele,163491,12049,1520,50019,,,
1330,RT,jui0k_,5,270,0,440,,,,RevJJackson,163491,12049,1520,50019,,,
1331,RT,AndresVillalob,86,799,1,1590,,,,RevJJackson,163491,12049,1520,50019,,,
1332,RT,stephenmilesDP,985,1294,32,27837,,,,RevJJackson,163491,12049,1520,50019,,,
1333,Tweet,smilingwisdom,6,37,0,446,,,,smilingwisdom,163491,12049,1520,50019,,,
1334,RT,chemborg,682,1248,1,31684,,,,RevJJackson,163491,12049,1520,50019,,,
1335,RT,jeananncord,84,143,0,3962,,,,RevJJackson,163491,12049,1520,50019,,,
