A_handle,B_handle,type
BotSiduri,MMichelsun,RT
BotSiduri,NASALIES7,RT
BotSiduri,burnett_cain,RT
BotSiduri,HujumesipeT,RT
lorna80,Spacehehehe,RT
BlagenLogin,BlagenLogin,Tweet
wolfmanmike47,wolfmanmike47,Tweet
burnett_cain,burnett_cain,Tweet
jaredvc,jaredvc,Tweet
NASALIES7,NASALIES7,Tweet
HujumesipeT,HujumesipeT,Tweet
FlatEarthRT,MMichelsun,RT
MMichelsun,MMichelsun,Tweet
AndrewDibble3,AndrewDibble3,Tweet
Tassdar3,Tassdar3,Tweet
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
RCB1172,FlatFlix,RT
RCB1172,UnbeProductions,RT
ABurdiez,ABurdiez,Tweet
DopestOpus,DopestOpus,Tweet
WeenieLinguini,TaleOfOnora,RT
WeenieLinguini,TakingTheAsk,RT
WeenieLinguini,A_Rauso,RT
WeenieLinguini,SpiritualLifeL1,RT
WeenieLinguini,NASALIES7,RT
mntcol,TakingTheAsk,RT
DMarceeux,TakingTheAsk,RT
MichaelLeppert,MichaelLeppert,Tweet
TaleOfOnora,TaleOfOnora,Tweet
TakingTheAsk,TakingTheAsk,Tweet
Angie_RejoinEU,Angie_RejoinEU,Tweet
A_Rauso,A_Rauso,Tweet
arthurlopesb,Staff1530,RT
GSB31,WeAreWakinUp,RT
GSB31,DSL1912,RT
GSB31,Spacehehehe,RT
HirokoHny,kozonakamuratv,RT
genna65,TrustFlatEarth,RT
apache1690,davino1959,RT
SpiritualLifeL1,SpiritualLifeL1,Tweet
biliravarmi,biliravarmi,Tweet
FatihDo60776969,muminakbulut,RT
NASALIES7,NASALIES7,Tweet
FatihDo60776969,SabitDunya,RT
HumanityWake,HumanityWake,Tweet
NASALIES7,NASALIES7,Tweet
halboyee,grilabo,RT
jaredvc,jaredvc,Tweet
WeenieLinguini,YochananYahweh,RT
WeenieLinguini,TheDailyPlane,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,FE_Spaceman,RT
WeenieLinguini,baddad6690,RT
HumanityWake,HumanityWake,Tweet
YochananYahweh,YochananYahweh,Tweet
TheDailyPlane,TheDailyPlane,Tweet
HumanityWake,HumanityWake,Tweet
akrepkral0690,akrepkral0690,Tweet
NealShepperson,NealShepperson,Tweet
TibeluthedT,TibeluthedT,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
FE_Spaceman,FE_Spaceman,Tweet
baddad6690,baddad6690,Tweet
BotSiduri,Constitution_NH,RT
BotSiduri,KeatonHutchins6,RT
BotSiduri,chandlerbbbing,RT
FatihDo60776969,flat_earth_fans,RT
chandlerbbbing,chandlerbbbing,Tweet
IAMAWAKE8,IAMAWAKE8,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
FromTwitta,phy_add,RT
BishopRyanC,BishopRyanC,Tweet
jaredvc,jaredvc,Tweet
WilliamRCamero1,Wifizoom,RT
FlatEarthRT,Cyprustar7,RT
KeatonHutchins6,KeatonHutchins6,Tweet
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,shanecorning,RT
WeenieLinguini,Cyprustar7,RT
WeenieLinguini,Janitor_Who,RT
Constitution_NH,Constitution_NH,Tweet
Constitution_NH,Cyprustar7,RT
MEConstitution,Staff1530,RT
CryptoCrest,Spacehehehe,RT
FlatEarthReal2,Spacehehehe,RT
shanecorning,shanecorning,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
tofineapoint,tofineapoint,Tweet
Cyprustar7,Cyprustar7,Tweet
Janitor_Who,Janitor_Who,Tweet
Staff1530,Staff1530,Tweet
itsFlat5,Wifizoom,RT
Sterling2143,Spacehehehe,RT
MoritzzRoos,MoritzzRoos,Tweet
miamimerchant,miamimerchant,Tweet
CescR69,ABurdiez,RT
xxxWhataTwitxxx,TrustFlatEarth,RT
HumanBe29882588,Spacehehehe,RT
Spacehehehe,Spacehehehe,Tweet
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,HiddenMountain7,RT
WeenieLinguini,cwordpod,RT
tofineapoint,Spacehehehe,RT
reneeleitner2,reneeleitner2,Tweet
PittsburghNerd,AngelsFreak7,RT
markrowantree,Wifizoom,RT
drifterceptor,Wifizoom,RT
againsthemosque,DSL1912,RT
againsthemosque,Spacehehehe,RT
AngelsFreak7,AngelsFreak7,Tweet
TibeluthedT,TibeluthedT,Tweet
HiddenMountain7,HiddenMountain7,Tweet
do_ob_xoxo,kozonakamuratv,RT
BotSiduri,kozonakamuratv,RT
BotSiduri,LifeIs__Short__,RT
oshimatokio2001,kozonakamuratv,RT
jaredvc,jaredvc,Tweet
cwordpod,cwordpod,Tweet
WeenieLinguini,LifeIs__Short__,RT
WeenieLinguini,kozonakamuratv,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,Quercuas,RT
WeenieLinguini,Wifizoom,RT
0gQvF9h7aGqYw9P,kozonakamuratv,RT
dfjrmldf,dfjrmldf,Tweet
loseemselves,grilabo,RT
LifeIs__Short__,LifeIs__Short__,Tweet
kozonakamuratv,kozonakamuratv,Tweet
Sterling2143,phy_add,RT
pbeaudin,pbeaudin,Tweet
Constitution_NH,Constitution_NH,Tweet
Bin_Ateeq93,Wifizoom,RT
Quercuas,Quercuas,Tweet
BendorisRobert,Wifizoom,RT
Royal_Time,Wifizoom,RT
manson_angelo,KarenWanker,RT
Wifizoom,Wifizoom,Tweet
Quercuas,Quercuas,Tweet
SolarElectrics,SolarElectrics,Tweet
WeenieLinguini,alvinbryan21,RT
WeenieLinguini,MelissaChadders,RT
WeenieLinguini,Quercuas,RT
WeenieLinguini,TibeluthedT,RT
alvinbryan21,alvinbryan21,Tweet
FUNKS_15,grilabo,RT
wanghe_309,Spacehehehe,RT
spotarse,spotarse,Tweet
HumanityWake,HumanityWake,Tweet
MatesRat3s,Spacehehehe,RT
MelissaChadders,MelissaChadders,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
Quercuas,Quercuas,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
MatesRat3s,Spacehehehe,RT
Quercuas,Quercuas,Tweet
TibeluthedT,TibeluthedT,Tweet
BotSiduri,firstmuslim,RT
BotSiduri,Constitution_NH,RT
MasterDebateNet,MasterDebateNet,Tweet
WeenieLinguini,flat_earth_fans,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,alvinbryan21,RT
WeenieLinguini,firstmuslim,RT
flat_earth_fans,flat_earth_fans,Tweet
FlatEarthRT,firstmuslim,RT
AdrianTaylorGT,HowItWorksmag,RT
Raynface,Raynface,Tweet
Constitution_NH,Constitution_NH,Tweet
MEConstitution,Luma923,RT
MEConstitution,finding_meru,RT
MEConstitution,firstmuslim,RT
alvinbryan21,alvinbryan21,Tweet
firstmuslim,firstmuslim,Tweet
WeenieLinguini,finding_meru,RT
WeenieLinguini,Luma923,RT
finding_meru,finding_meru,Tweet
Quercuas,Quercuas,Tweet
Quercuas,Quercuas,Tweet
Luma923,Luma923,Tweet
kingn0thin,kingn0thin,Tweet
Quercuas,Quercuas,Tweet
WeenieLinguini,YochananYahweh,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,phy_add,RT
WeenieLinguini,TrustFlatEarth,RT
WeenieLinguini,TrustFlatEarth,RT
vHnNcvSZGDoSPho,grilabo,RT
YochananYahweh,YochananYahweh,Tweet
TibeluthedT,TibeluthedT,Tweet
phy_add,phy_add,Tweet
CR6521,TrustFlatEarth,RT
TrustFlatEarth,TrustFlatEarth,Tweet
BotSiduri,ConstitutionNd,RT
BotSiduri,Constitution_NH,RT
BotSiduri,HowItWorksmag,RT
BotSiduri,TrustFlatEarth,RT
hackfox52,hackfox52,Tweet
TrustFlatEarth,TrustFlatEarth,Tweet
marcel_lehmann1,marcel_lehmann1,Tweet
HowItWorksmag,HowItWorksmag,Tweet
jonah_Scientist,jonah_Scientist,Tweet
hopkapital,hopkapital,Tweet
FlatEarthRT,AngelsFreak7,RT
FlatEarthRT,jonah_Scientist,RT
neoadventist,neoadventist,Tweet
CTw0wlL6wsejeFD,grilabo,RT
Constitution_NH,Constitution_NH,Tweet
WeenieLinguini,ConstitutionNd,RT
WeenieLinguini,jonah_Scientist,RT
ConstitutionNd,ConstitutionNd,Tweet
machirinman,grilabo,RT
lime_link,AngelsFreak7,RT
jonah_Scientist,jonah_Scientist,Tweet
TheEart85510282,FlatFlix,RT
TheRockitier,Slepton_Hiphop,RT
imJacobMoore,FlatFlix,RT
PeaceWTF,Spacehehehe,RT
wickedyet1,flatearth_fact,RT
PeaceWTF,flatearth_fact,RT
WeenieLinguini,9oneKingtana,RT
WeenieLinguini,Janitor_Who,RT
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,ColonialBarbar,RT
PeaceWTF,TrustFlatEarth,RT
9oneKingtana,9oneKingtana,Tweet
jreadfull,DonSimounIbarra,RT
Janitor_Who,Janitor_Who,Tweet
SmokeBreakMusic,Spacehehehe,RT
AngelsFreak7,AngelsFreak7,Tweet
SmokeBreakMusic,Spacehehehe,RT
IEAffiliate,IEAffiliate,Tweet
SmokeBreakMusic,FlatFlix,RT
TibeluthedT,TibeluthedT,Tweet
SmokeBreakMusic,FlatFlix,RT
BotSiduri,Flying_Emeralds,RT
ArseniKarp,ColonialBarbar,RT
ArseniKarp,Flying_Emeralds,RT
ArseniKarp,FlatFlix,RT
ArseniKarp,BeyondOurComp,RT
ArseniKarp,Constitution_NH,RT
ArseniKarp,IamGrrreen,RT
ColonialBarbar,ColonialBarbar,Tweet
WeenieLinguini,Flying_Emeralds,RT
WeenieLinguini,FlatFlix,RT
WeenieLinguini,BeyondOurComp,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,IamGrrreen,RT
AntonspbGut,mobileunderhood,RT
SutanPangeran17,FlatFlix,RT
Flying_Emeralds,Flying_Emeralds,Tweet
FlatFlix,FlatFlix,Tweet
Jone63395371,grilabo,RT
BeyondOurComp,BeyondOurComp,Tweet
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionOR,RT
IamGrrreen,IamGrrreen,Tweet
MEConstitution,HarraReal,RT
MEConstitution,HujumesipeT,RT
PeaceWTF,redpill_beena,RT
StridderWal,flat_earth_fans,RT
davidoff125,TrustFlatEarth,RT
WeenieLinguini,HarraReal,RT
WeenieLinguini,LFnord,RT
WeenieLinguini,TrustFlatEarth,RT
WeenieLinguini,FEmorlandnohD,RT
kinglogosjonas,dmarble1,RT
HarraReal,HarraReal,Tweet
THEXYSHOW,DAPFpodcast,RT
Fredy27488302,FEVeganWitch,RT
ericarios73,FlatFlix,RT
Wifizoom,Spacehehehe,RT
konro62168341,grilabo,RT
LFnord,LFnord,Tweet
TrustFlatEarth,TrustFlatEarth,Tweet
PrayingElves,FlatFlix,RT
PrayingElves,FlatFlix,RT
ANDIBLAIR1492,parkie8,RT
WeenieLinguini,TheDailyPlane,RT
WeenieLinguini,FlatFlix,RT
WeenieLinguini,FlatFlix,RT
WeenieLinguini,FlatFlix,RT
WeenieLinguini,FlatFlix,RT
FEmorlandnohD,FEmorlandnohD,Tweet
WeenieLinguini,TibeluthedT,RT
TheDailyPlane,TheDailyPlane,Tweet
FlatFlix,FlatFlix,Tweet
FlatFlix,FlatFlix,Tweet
jomomma232019,Flying_Emeralds,RT
FlatFlix,FlatFlix,Tweet
JasmineFlow3r,redfirekla,RT
FlatFlix,FlatFlix,Tweet
FlatFlix,FlatFlix,Tweet
jomomma232019,TrustFlatEarth,RT
TibeluthedT,TibeluthedT,Tweet
FlatFlix,FlatFlix,RT
BotSiduri,ConstitutionNd,RT
BotSiduri,Constitution_NH,RT
BotSiduri,ConstitutionOR,RT
BotSiduri,LFnord,RT
BotSiduri,HujumesipeT,RT
LFnord,LFnord,Tweet
achprk,grilabo,RT
HujumesipeT,HujumesipeT,Tweet
WeenieLinguini,ConstitutionOR,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,ConstitutionNd,RT
WeenieLinguini,SchreckWilliams,RT
WeenieLinguini,grilabo,RT
WeenieLinguini,SchreckWilliams,RT
M51tda4L3cLpWHS,grilabo,RT
FlatEarthExpert,FlatEarthExpert,Tweet
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionNd,Tweet
MEConstitution,jaylerxwhite,RT
MEConstitution,hau_preston,RT
SchreckWilliams,SchreckWilliams,Tweet
economymytomato,grilabo,RT
DarrenR81692532,CharlyGonCast,RT
grilabo,grilabo,Tweet
SchreckWilliams,SchreckWilliams,Tweet
emt65,DonSimounIbarra,RT
SchreckWilliams,SchreckWilliams,Tweet
SchreckWilliams,SchreckWilliams,Tweet
hau_preston,hau_preston,Tweet
jonah_Scientist,jonah_Scientist,Tweet
jaylerxwhite,jaylerxwhite,Tweet
juanvg53,Aero_Jenna,RT
WeenieLinguini,DAPFpodcast,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,DAPFpodcast,RT
WeenieLinguini,AmericanAngro,RT
awakeningMan,wolfmanmike47,RT
DAPFpodcast,DAPFpodcast,Tweet
onelifeuc,DSL1912,RT
TibeluthedT,TibeluthedT,Tweet
BotSiduri,DAPFpodcast,RT
ImplantDetected,Spacehehehe,RT
ImplantDetected,AndrewDibble3,RT
onelifeuc,Spacehehehe,RT
DAPFpodcast,DAPFpodcast,Tweet
onelifeuc,Spacehehehe,RT
DenzilDamon,Flying_Emeralds,RT
DenzilDamon,AustralisPiper,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,MI_Constitution,RT
WeenieLinguini,DenzilDamon,RT
AmericanAngro,AmericanAngro,Tweet
WeenieLinguini,DenzilDamon,RT
WeenieLinguini,DenzilDamon,RT
wiretechgirl,DAPFpodcast,RT
WendyJYoung2,CharlyGonCast,RT
SmokeBreakMusic,Its_Stationary,RT
SmokeBreakMusic,Its_Stationary,RT
Constitution_NH,Constitution_NH,Tweet
MI_Constitution,MI_Constitution,Tweet
FlatplaneJayne,Its_Stationary,RT
MEConstitution,gaskinbiz,RT
MEConstitution,NASALIES7,RT
MEConstitution,SchreckWilliams,RT
MEConstitution,HujumesipeT,RT
DenzilDamon,DenzilDamon,Tweet
Airam535,flat_earth_fans,RT
DenzilDamon,DenzilDamon,Tweet
DenzilDamon,DenzilDamon,Tweet
pixelcraft25,Spacehehehe,RT
Y3Ashley,Y3Ashley,Tweet
ItsFlatFolks,ItsFlatFolks,Tweet
SchreckWilliams,SchreckWilliams,Tweet
cheapwhiskey38,cheapwhiskey38,Tweet
NASALIES7,NASALIES7,Tweet
NASALIES7,NASALIES7,Tweet
EFT_Seattle,NothingSirius,RT
RyanRybak22,RyanRybak22,Tweet
EFT_Seattle,EFT_Seattle,Tweet
gaskinbiz,gaskinbiz,Tweet
WeenieLinguini,NASALIES7,RT
WeenieLinguini,NASALIES7,RT
oplix,oplix,RT
WeenieLinguini,oplix,RT
WeenieLinguini,AustralisPiper,RT
WeenieLinguini,Alaskannomad,RT
WeenieLinguini,TibeluthedT,RT
Karensmith_76,KarenWanker,RT
EFT_Seattle,NASALIES7,RT
NASALIES7,NASALIES7,Tweet
NASALIES7,NASALIES7,Tweet
NASALIES7,NASALIES7,Tweet
oplix,oplix,Tweet
BehindTheRant,DAPFpodcast,RT
AustralisPiper,AustralisPiper,Tweet
Palmdalekid2,TS_SCI_MAJIC12,RT
Alaskannomad,Alaskannomad,Tweet
TibeluthedT,TibeluthedT,Tweet
SophiaSiduri,SophiaSiduri,Tweet
BotSiduri,phy_add,RT
BotSiduri,HujumesipeT,RT
julia4716,flat_earth_fans,RT
remyjsg,TrustFlatEarth,RT
WeenieLinguini,phy_add,RT
WeenieLinguini,indio007,RT
WeenieLinguini,HujumesipeT,RT
WeenieLinguini,Flying_Emeralds,RT
WeenieLinguini,InfinitePFilms,RT
WeenieLinguini,Janitor_Who,RT
camisan75,CharlyGonCast,RT
phy_add,phy_add,Tweet
indio007,indio007,Tweet
glover_is,glover_is,Tweet
HujumesipeT,HujumesipeT,Tweet
vixenzero3,vixenzero3,Tweet
FlatEarthRT,DAPFpodcast,RT
Flying_Emeralds,Flying_Emeralds,Tweet
DestroyFE,DestroyFE,Tweet
InfinitePFilms,InfinitePFilms,Tweet
Janitor_Who,Janitor_Who,Tweet
Constitution_NH,Constitution_NH,Tweet
MEConstitution,UnbeProductions,RT
AndreasMarius1,AndreasMarius1,Tweet
TestOutCorp,TestOutCorp,Tweet
benrothke,benrothke,Tweet
IEAffiliate,IEAffiliate,Tweet
WarrenPeas64,Spacehehehe,RT
DenzilDamon,DenzilDamon,Tweet
FlatplaneJayne,Spacehehehe,RT
DenzilDamon,DenzilDamon,Tweet
ShotCallerJay,flat_earth_fans,RT
IEAffiliate,IEAffiliate,Tweet
IEAffiliate,IEAffiliate,Tweet
UnbeProductions,UnbeProductions,Tweet
AlkisBahattin,AlkisBahattin,Tweet
chrusty_boy,chrusty_boy,Tweet
indio007,bg_anon,RT
parkie8,parkie8,Tweet
benrothke,benrothke,Tweet
wolfmanmike47,wolfmanmike47,Tweet
IEAffiliate,IEAffiliate,Tweet
Jennacide12,AustraliaVote,RT
al7aker,al7aker,Tweet
LiamVanrooyen,Spacehehehe,RT
LeBarbu727,LeBarbu727,Tweet
SmokeBreakMusic,SmokeBreakMusic,Tweet
AnnoyingRandom2,AnnoyingRandom2,Tweet
EFT_Seattle,EFT_Seattle,RT
DenzilDamon,DenzilDamon,Tweet
DenzilDamon,DenzilDamon,Tweet
DenzilDamon,DenzilDamon,Tweet
TibeluthedT,TibeluthedT,Tweet
WeenieLinguini,NatalieLLee,RT
WeenieLinguini,FEVeganWitch,RT
WeenieLinguini,FlatHolland,RT
WeenieLinguini,DAPFpodcast,RT
WeenieLinguini,AustraliaVote,RT
NatalieLLee,NatalieLLee,Tweet
MohammadZawahr6,TrustFlatEarth,RT
BotSiduri,DAPFpodcast,RT
BotSiduri,FEVeganWitch,RT
FEVeganWitch,FEVeganWitch,Tweet
whoopsbuni,whoopsbuni,Tweet
AdFreeTalkRadio,DAPFpodcast,RT
FlatHolland,FlatHolland,Tweet
DAPFpodcast,DAPFpodcast,Tweet
AustraliaVote,AustraliaVote,Tweet
tajarob3,Spacehehehe,RT
bikinatroll,bikinatroll,Tweet
jimmy59153984,jimmy59153984,Tweet
CobraElDiablo,CobraElDiablo,Tweet
Racealien3,CharlyGonCast,RT
FlatEarthRT,DAPFpodcast,RT
FlatEarthRT,AngelsFreak7,RT
KiNgDaNn84,Spacehehehe,RT
faithful_sally,AndrewDibble3,RT
Racealien3,TrustFlatEarth,RT
NatalieLLee,NatalieLLee,Tweet
maxrhino,maxrhino,Tweet
AndrewDibble3,AndrewDibble3,Tweet
madfatloud,DAPFpodcast,RT
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionOR,RT
MorningNeurosis,DAPFpodcast,RT
MEConstitution,bg_anon,RT
MEConstitution,AnnonTuga,RT
BOOYA_APP,NASA_never,RT
WeenieLinguini,bg_anon,RT
WeenieLinguini,AnnonTuga,RT
WeenieLinguini,christraynor,RT
WeenieLinguini,bg_anon,RT
bg_anon,bg_anon,Tweet
AnnonTuga,AnnonTuga,Tweet
Mabdullah131807,Spacehehehe,RT
JuanAlb54990819,yubiquitous1,RT
christraynor,christraynor,Tweet
JuanAlb54990819,Spacehehehe,RT
bg_anon,bg_anon,Tweet
Mello3Philip,flatmotionless,RT
Mello3Philip,flatmotionless,RT
Tiger_domnik,flatearth_fact,RT
Tiger_domnik,flatearth_fact,RT
FlowerAthan,common_fe,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,DAPFpodcast,RT
FlowerAthan,MarcalRoggero,RT
Tiger_domnik,flatearth_fact,RT
RCB1172,RCB1172,Tweet
TibeluthedT,TibeluthedT,Tweet
RCB1172,Spacehehehe,RT
FlatEarthExpert,FlatEarthExpert,Tweet
BotSiduri,Migueln51694112,RT
BotSiduri,DAPFpodcast,RT
BotSiduri,AngelsFreak7,RT
HumanityWake,HumanityWake,Tweet
OurFutureBot,indoflatearth,RT
KDHWASS11,indoflatearth,RT
IEAffiliate,IEAffiliate,Tweet
CristianaConse1,CharlyGonCast,RT
AdFreeTalkRadio,AngelsFreak7,RT
HumanityWake,HumanityWake,Tweet
4patrickhenry,4patrickhenry,Tweet
AdFreeTalkRadio,DAPFpodcast,RT
AngelsFreak7,AngelsFreak7,Tweet
DAPFpodcast,DAPFpodcast,Tweet
TeslaYian,TeslaYian,Tweet
Migueln51694112,Migueln51694112,Tweet
Franky_Io,Franky_Io,Tweet
Tassdar3,Tassdar3,Tweet
Bretsky7,TrustFlatEarth,RT
ThePhlatEarth,Spacehehehe,RT
ThePhlatEarth,TrustFlatEarth,RT
ThePhlatEarth,flat_earth_fans,RT
WansleyPam,Lumineuse72,RT
LisaWhitehead8,LisaWhitehead8,Tweet
ConstitutionOR,ConstitutionOR,Tweet
WeenieLinguini,alvinbryan21,RT
WeenieLinguini,0_s__,RT
WeenieLinguini,usaemporiumllc,RT
WeenieLinguini,MMichelsun,RT
Constitution_NH,Constitution_NH,Tweet
WeenieLinguini,MMichelsun,RT
ConstitutionNd,ConstitutionOR,RT
redpill_beena,redpill_beena,Tweet
MEConstitution,DirtyRandell,RT
MEConstitution,MMichelsun,RT
MEConstitution,MMichelsun,RT
MEConstitution,HujumesipeT,RT
anothergene,anothergene,Tweet
AndyAl2505,Spacehehehe,RT
vwheato,thewebbix,RT
ClareWHarris,thewebbix,RT
BostonClonks,Spacehehehe,RT
alvinbryan21,alvinbryan21,Tweet
0_s__,0_s__,Tweet
Gentle1111Chaos,Spacehehehe,RT
IEAffiliate,IEAffiliate,Tweet
csa7et,CharlyGonCast,RT
usaemporiumllc,usaemporiumllc,Tweet
MMichelsun,MMichelsun,Tweet
MMichelsun,MMichelsun,Tweet
SheilaAbrams5,Lumineuse72,RT
DirtyRandell,DirtyRandell,Tweet
nickschmidt2012,NASALIES7,RT
LFnord,LFnord,Tweet
nickschmidt2012,Thereason_2,RT
BSandwater,flat_earth_fans,RT
HanspalSimon,TrustFlatEarth,RT
brucefenderb,brucefenderb,Tweet
WeenieLinguini,NASALIES7,RT
WeenieLinguini,DesegnistoR,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,Thereason_2,RT
WeenieLinguini,Thereason_2,RT
Slepton_Hiphop,Slepton_Hiphop,Tweet
NASALIES7,NASALIES7,Tweet
DesegnistoR,DesegnistoR,Tweet
m3n_doza,CharlyGonCast,RT
flat_its,flat_its,Tweet
johnsville14,CharlyGonCast,RT
TibeluthedT,TibeluthedT,Tweet
wiretechgirl,AngelsFreak7,RT
BotSiduri,Thereason_2,RT
BotSiduri,Thereason_2,RT
AndrewDibble3,AndrewDibble3,Tweet
BotSiduri,HujumesipeT,RT
DesegnistoR,RomaRobbie,RT
Thereason_2,Thereason_2,Tweet
Thereason_2,Thereason_2,Tweet
billBel80925644,CharlyGonCast,RT
DonSimounIbarra,DonSimounIbarra,Tweet
agvBruceAdams,CharlyGonCast,RT
HujumesipeT,HujumesipeT,Tweet
ArmoniaLise,FlatFlix,RT
Sterling2143,IMMINENTBLISS,RT
DAPFpodcast,DAPFpodcast,RT
WeenieLinguini,TheDailyPlane,RT
WeenieLinguini,RatioScientiae,RT
WeenieLinguini,SLaqani,RT
WeenieLinguini,ConstitutionOR,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,ConstitutionNd,RT
IzombieIX,redfirekla,RT
FlatEarthRT,SLaqani,RT
TheDailyPlane,TheDailyPlane,Tweet
RatioScientiae,RatioScientiae,Tweet
wiretechgirl,DAPFpodcast,RT
Jerome_Elaut,MindshockPod,RT
SLaqani,SLaqani,Tweet
QLight61,thewebbix,RT
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
KumelMeelis,TrustFlatEarth,RT
ConstitutionNd,ConstitutionNd,Tweet
MEConstitution,FE_Spaceman,RT
MEConstitution,TheOlifant,RT
MEConstitution,MasterDebateNet,RT
glhilder,phy_add,RT
danieIc81,TrustFlatEarth,RT
MasterDebateNet,MasterDebateNet,Tweet
Tiger_domnik,FlatEarthRT,RT
Moggsee,thewebbix,RT
Tiger_domnik,Spacehehehe,RT
Tiger_domnik,Spacehehehe,RT
Randomwatcher4,thewebbix,RT
robbiederman198,robbiederman198,Tweet
RoxyFerret,thewebbix,RT
56blackcat,thewebbix,RT
TheOlifant,TheOlifant,Tweet
FE_Spaceman,FE_Spaceman,Tweet
WeenieLinguini,ColonialBarbar,RT
WeenieLinguini,thewebbix,RT
WeenieLinguini,flatearth_fact,RT
WeenieLinguini,Janitor_Who,RT
WeenieLinguini,MindshockPod,RT
Champa4Us,thewebbix,RT
ColonialBarbar,ColonialBarbar,Tweet
mrhunt79,RCB1172,RT
jaredvc,jaredvc,Tweet
anonymous4835,GreyTonka,RT
chris_is_oecher,chris_is_oecher,Tweet
thewebbix,thewebbix,Tweet
flatearth_fact,flatearth_fact,Tweet
GreyTonka,GreyTonka,Tweet
Janitor_Who,Janitor_Who,Tweet
Sterling_Lee_,phy_add,RT
MindshockPod,MindshockPod,Tweet
flatearth_fact,flatearth_fact,Tweet
Sterling2143,phy_add,RT
TibeluthedT,TibeluthedT,Tweet
AnnoyingRandom2,AnnoyingRandom2,Tweet
SatoshiAnalysis,SatoshiAnalysis,Tweet
BotSiduri,AngelsFreak7,RT
BotSiduri,phy_add,RT
UnCastellsMes,UnCastellsMes,Tweet
WeenieLinguini,FlatFlix,RT
WeenieLinguini,phy_add,RT
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,flatearth_fact,RT
PrayingElves,FlatFlix,RT
FlatFlix,FlatFlix,Tweet
AdamJona98,remyjsg,RT
phy_add,phy_add,Tweet
FlatEarthRT,AngelsFreak7,RT
AngelsFreak7,AngelsFreak7,Tweet
Bensamsona1,Spacehehehe,RT
carlespinta,CharlyGonCast,RT
Sterling2143,Spacehehehe,RT
CharlyGonCast,CharlyGonCast,Tweet
Constitution_NH,Constitution_NH,Tweet
MEConstitution,GeoOBradovich,RT
flatearth_fact,flatearth_fact,Tweet
flatearth_fact,flatearth_fact,Tweet
GeoOBradovich,GeoOBradovich,Tweet
FlatEarthReal2,Spacehehehe,RT
alvinbryan21,alvinbryan21,Tweet
tholm4,Its_Stationary,RT
WeenieLinguini,Spacehehehe,RT
WeenieLinguini,Stedfastt,RT
WeenieLinguini,MarkusBoyd,RT
WeenieLinguini,davidjcaron,RT
WeenieLinguini,Tweeztr,RT
WeenieLinguini,ColonialBarbar,RT
Spacehehehe,Spacehehehe,Tweet
Stedfastt,Stedfastt,Tweet
MarkusBoyd,MarkusBoyd,Tweet
RCB1172,RCB1172,Tweet
davidjcaron,davidjcaron,Tweet
Tweeztr,Tweeztr,Tweet
ChaseArt10,ChaseArt10,Tweet
ColonialBarbar,ColonialBarbar,Tweet
AutumnCrippled,bg_anon,RT
Atienza44_,Atienza44_,Tweet
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,twilwel,RT
WeenieLinguini,FE_Spaceman,RT
WeenieLinguini,FE_Spaceman,RT
WeenieLinguini,silkdynastystx,RT
WeenieLinguini,ThatBeardyGamer,RT
TibeluthedT,TibeluthedT,Tweet
BotSiduri,Constitution_NH,RT
BotSiduri,silkdynastystx,RT
BotSiduri,FE_Spaceman,RT
BotSiduri,FE_Spaceman,RT
BotSiduri,twilwel,RT
twilwel,twilwel,Tweet
FE_Spaceman,FE_Spaceman,Tweet
FE_Spaceman,FE_Spaceman,Tweet
schubertiade14,bg_anon,RT
