A_handle,B_handle,type
WeenieLinguini,StanleyRoberts,RT
WeenieLinguini,TheShonkyLab,RT
WeenieLinguini,arasquez,RT
WeenieLinguini,slave2holyghost,RT
WeenieLinguini,muhdyusuf19,RT
WeenieLinguini,SWStribling,RT
PrismPrime,flatearth_fact,RT
OswaldTCamel,TheShonkyLab,RT
StanleyRoberts,StanleyRoberts,Tweet
SmokeBreakMusic,TrustFlatEarth,RT
cipherEquality,TrustFlatEarth,RT
SmokeBreakMusic,TrustFlatEarth,RT
SmokeBreakMusic,TrustFlatEarth,RT
SmokeBreakMusic,TrustFlatEarth,RT
LucaDivesDeep,FlatEarthDoc,RT
SmokeBreakMusic,TrustFlatEarth,RT
wiretechgirl,DAPFpodcast,RT
Hypnogoria,TheShonkyLab,RT
JBLOGDOG,JBLOGDOG,Tweet
TheShonkyLab,TheShonkyLab,Tweet
arasquez,arasquez,Tweet
TakingTheAsk,TakingTheAsk,Tweet
Ayedthu_,FlatEarthDoc,RT
slave2holyghost,slave2holyghost,Tweet
genna65,FlatEarthDoc,RT
MadgeMidgely,harmayani_fe,RT
muhdyusuf19,muhdyusuf19,Tweet
ExponieLaVerdad,_FlatEarthFC_,RT
SWStribling,SWStribling,Tweet
WeenieLinguini,pannatorn123,RT
WeenieLinguini,TibeluthedT,RT
tajarob3,DSL1912,RT
pannatorn123,pannatorn123,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
TibeluthedT,TibeluthedT,Tweet
usacomp2k3,usacomp2k3,Tweet
Aadd19479152,Aadd19479152,Tweet
QudamaT,Wifizoom,RT
Adham50793927,ashoukaFE,RT
TheWiganParky,TheWiganParky,Tweet
flatearth_fact,flatearth_fact,Tweet
Quercuas,Quercuas,Tweet
iconic_hussla,alvinbryan21,RT
Metrek13043,ashoukaFE,RT
FlatEarthExpert,FlatEarthExpert,Tweet
Thor_52,Thor_52,Tweet
nawwaf_111_6,EisF7,RT
WeenieLinguini,TheDailyPlane,RT
WeenieLinguini,Constitution_NH,RT
FlatEarthRT,TheDailyPlane,RT
WeenieLinguini,FE_Spaceman,RT
WeenieLinguini,Rickwmooney,RT
WeenieLinguini,ashoukaFE,RT
WeenieLinguini,flatearth_fact,RT
EFT_Seattle,United_4_Truth,RT
hugh_bothwell,hugh_bothwell,Tweet
EFT_Seattle,EFT_Seattle,RT
TheDailyPlane,TheDailyPlane,Tweet
NHScorrupt,NHScorrupt,Tweet
hugh_bothwell,hugh_bothwell,Tweet
Constitution_NH,Constitution_NH,Tweet
Constitution_NH,NothingSirius,RT
Constitution_NE,NothingSirius,RT
ConstitutionNd,NothingSirius,RT
MEConstitution,rosemarybabyPT,RT
MEConstitution,FE_Spaceman,RT
MEConstitution,NothingSirius,RT
FE_Spaceman,FE_Spaceman,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
Rickwmooney,Rickwmooney,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
T_Sidd,T_Sidd,Tweet
DanCurran77,DanCurran77,Tweet
1Dove1Love,1Dove1Love,Tweet
ashoukaFE,ashoukaFE,Tweet
CobraElDiablo,CobraElDiablo,Tweet
IAMAWAKE8,IAMAWAKE8,Tweet
flatearth_fact,flatearth_fact,Tweet
rosemarybabyPT,rosemarybabyPT,Tweet
Flat_Earth_Real,flatearth_fact,RT
Jaescott26,Jaescott26,Tweet
Lolkoksnop,Lolkoksnop,Tweet
