,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
885,RT,FURASBATH,806,676,8,55878,,,,GlenWoodfin,74930,56608,899,73578,,,
886,RT,Lovemypresiden4,7149,7417,5,155109,,,,JoyLinPark,20271,19262,5,66505,,,
887,RT,WilliamBWorthy,2659,2819,26,8009,,,,WilliamBWorthy,2659,2819,26,8009,,,
888,RT,SharonSatterly2,42,126,0,8569,,,,Adjustedwell,23738,22896,148,82739,,,
889,Tweet,RocVerita,128,264,0,922,,,,RocVerita,23738,22896,148,82739,,,
890,RT,hambly_jenny,929,1011,24,3823,,,,WilliamBWorthy,2659,2819,26,8009,,,
891,Tweet,vavspecialist,1398,1197,18,13139,,,,vavspecialist,2659,2819,26,8009,,,
892,RT,wildassville,4950,5263,9,82528,,,,GlenWoodfin,74930,56608,899,73578,,,
893,RT,RedHoss44,7729,7664,2,38647,,,,Cocofritz,16809,15179,35,93536,,,
894,RT,MdWVMJElh9QlKtt,2834,3316,0,6410,,,,GlenWoodfin,74930,56608,899,73578,,,
895,RT,fortune_sally,599,1216,0,25425,,,,JoyLinPark,20271,19262,5,66505,,,
896,RT,Pitmasterjoe1,2463,3376,0,5839,,,,Adjustedwell,23738,22896,148,82739,,,
897,RT,bamamj,547,787,1,21546,,,,Adjustedwell,23738,22896,148,82739,,,
898,RT,1tsakeeper,2213,2032,1,77118,,,,JoyLinPark,20271,19262,5,66505,,,
899,RT,Calvin60208784,632,540,0,44941,,,,JoyLinPark,20271,19262,5,66505,,,
900,RT,JoLissa13,9371,9197,130,230446,,,,Adjustedwell,23738,22896,148,82739,,,
901,RT,EddieMae6,1650,1602,1,59709,,,,Cocofritz,16809,15179,35,93536,,,
902,Tweet,sheldon_abraham,36,244,0,134,,,,sheldon_abraham,16809,15179,35,93536,,,
903,RT,Stearns4671,59,167,0,197,,,,Adjustedwell,23738,22896,148,82739,,,
904,RT,JohnRealSmith,4191,1675,254,432957,,,,JoyLinPark,20271,19262,5,66505,,,
905,RT,diana102252,4394,5002,65,72482,,,,Adjustedwell,23738,22896,148,82739,,,
906,RT,Todd22320430,1481,1801,0,2327,,,,Adjustedwell,23738,22896,148,82739,,,
907,RT,45_chrissie,794,1488,1,1569,,,,JoyLinPark,20271,19262,5,66505,,,
908,RT,terry50_terry,5003,5049,3,32991,,,,Adjustedwell,23738,22896,148,82739,,,
909,RT,Kath_meg,1398,936,69,110235,,,,JoyLinPark,20271,19262,5,66505,,,
910,RT,ggibson1957,1714,1532,2,106986,,,,DeniseEllenburg,3876,4998,13,73574,,,
911,Tweet,BetrCutlerLoose,2292,2229,24,75540,,,,BetrCutlerLoose,3876,4998,13,73574,,,
912,Tweet,TonyVenutiShow,2127,3531,56,117404,,,,TonyVenutiShow,3876,4998,13,73574,,,
913,Tweet,vickiwiltshire,3524,4936,2,54972,,,,vickiwiltshire,3876,4998,13,73574,,,
914,RT,SerenitysCalm,595,1367,12,5751,,,,Adjustedwell,23738,22896,148,82739,,,
915,RT,BadgerM19504306,898,1423,0,2533,,,,PilledDem,4755,4891,1,32857,,,
916,RT,bluzeman119541,79,591,0,943,,,,Adjustedwell,23738,22896,148,82739,,,
917,RT,jeff17699598,1175,1883,2,63288,,,,JoyLinPark,20271,19262,5,66505,,,
918,RT,MikeRadford6,6527,7037,6,60646,,,,land_terri,23786,23162,78,192248,,,
919,RT,FlRaspe,87,227,1,17845,,,,JamesWhite70001,5088,5600,5,3268,,,
920,RT,roxyloveslucy,8953,7453,239,297375,,,,Tamaralynn212,11924,12703,222,191972,,,
921,RT,rhondaweaver,161,735,8,3391,,,,Adjustedwell,23738,22896,148,82739,,,
922,RT,dawg_lb,28219,23075,45,127581,,,,JoyLinPark,20271,19262,5,66505,,,
923,RT,RevoltRazom,193,650,0,1843,,,,deutsch365,7744,246,70,106824,,,
924,RT,RobertBradleyJ2,12410,12878,4,103728,,,,JoyLinPark,20271,19262,5,66505,,,
925,RT,fayruz1968,5546,4613,0,41356,,,,GlenWoodfin,74930,56608,899,73578,,,
926,RT,PJrtx,643,659,0,47603,,,,JoyLinPark,20271,19262,5,66505,,,
927,Tweet,TrueNewsGlobal,53323,53008,604,9010,,,,TrueNewsGlobal,20271,19262,5,66505,,,
928,RT,plasticmoney888,30088,28753,114,32994,,,,JoyLinPark,20271,19262,5,66505,,,
929,RT,Wyn1745,54569,54429,31,177858,,,,JoyLinPark,20271,19262,5,66505,,,
930,RT,Kingnutz2,1090,1052,0,18093,,,,JoyLinPark,20271,19262,5,66505,,,
931,RT,721olebean,357,609,0,8426,,,,Adjustedwell,23738,22896,148,82739,,,
932,RT,Tombx7M,52131,36275,236,219722,,,,JoyLinPark,20271,19262,5,66505,,,
933,RT,Schmeezle1,1169,1398,3,82203,,,,threadreaderapp,246959,1281,962,835479,,,
934,RT,caarlich,687,569,0,56802,,,,JoyLinPark,20271,19262,5,66505,,,
935,RT,Bill55P,1500,1632,4,47771,,,,JoyLinPark,20271,19262,5,66505,,,
936,RT,Lordshahram007,637,753,0,65217,,,,JoyLinPark,20271,19262,5,66505,,,
937,RT,JerryNe31511044,365,751,0,5588,,,,Adjustedwell,23738,22896,148,82739,,,
938,RT,CastineSusan,470,550,13,4204,,,,WilliamBWorthy,2659,2819,26,8009,,,
939,RT,jackson5213,3193,3405,2,65917,,,,ImabitcSumtimes,78241,74330,16,247367,,,
940,RT,Can2geterdone,73662,73523,44,235692,,,,JoyLinPark,20271,19262,5,66505,,,
941,RT,starrynight620,13614,14653,6,72031,,,,JoyLinPark,20271,19262,5,66505,,,
942,RT,erneststewartm1,689,1560,0,6931,,,,zeusFanHouse,48231,43681,26,323887,,,
943,RT,jmcampbell05,207,1840,0,41292,,,,CatNamus,9089,4758,39,17292,,,
944,RT,THE_REDLILY,17885,14805,10,38806,,,,Cocofritz,16809,15179,35,93536,,,
945,RT,Madnessauto69,8531,8491,19,43139,,,,Adjustedwell,23738,22896,148,82739,,,
946,RT,SueSuebarker12,13701,14699,8,212795,,,,JoyLinPark,20271,19262,5,66505,,,
947,RT,21stcentury120,11019,10712,4,63419,,,,Cocofritz,16809,15179,35,93536,,,
948,RT,Danny30798186,4827,4819,2,68971,,,,Toni_Scurlock,6221,6825,210,134724,,,
949,RT,DannerShalan,1626,1412,3,10244,,,,tjkgolf21,42307,40515,4,118978,,,
950,RT,mountainmadness,2718,3995,3,25756,,,,JudicialWatch,1401686,1943,5704,70753,,,
951,RT,Petrus24550953,1015,877,0,16106,,,,SweIpad,415,412,1,7139,,,
952,RT,GSbarrow1,7397,7846,0,11689,,,,Toni_Scurlock,6221,6825,210,134724,,,
953,RT,LindaEpai457450,15956,16050,57,255164,,,,thinkagainst,271,332,8,10644,,,
954,RT,FloydRev,108,293,0,1749,,,,JoyLinPark,20271,19262,5,66505,,,
955,Tweet,BillVe3,17,0,0,1508,,,,BillVe3,20271,19262,5,66505,,,
956,Tweet,WilliamBWorthy,2659,2819,26,8009,,,,WilliamBWorthy,20271,19262,5,66505,,,
957,RT,gatorman9611,4362,5000,24,129796,,,,JoyLinPark,20271,19262,5,66505,,,
958,Tweet,aanpakkuh,45,23,12,3984,,,,aanpakkuh,20271,19262,5,66505,,,
959,RT,MSPOA,6136,5663,42,87118,,,,JoyLinPark,20271,19262,5,66505,,,
960,RT,Debbideedoodah,39369,40241,8,75235,,,,AllTrumpedUp20,685,721,0,67,,,
961,RT,E__McD,387,1477,4,12146,,,,TrueNewsGlobal,53323,53008,604,9010,,,
962,Tweet,WilliamBWorthy,2659,2819,26,8009,,,,WilliamBWorthy,53323,53008,604,9010,,,
963,RT,up_weekly,19528,19312,2,77029,,,,JoyLinPark,20271,19262,5,66505,,,
964,RT,Tim64997824,1131,1478,2,20249,,,,RockyWinston007,16737,12563,14,6723,,,
965,RT,Rajean57,8157,8924,6,156674,,,,GlenWoodfin,74930,56608,899,73578,,,
966,RT,DavidAr10178655,191,381,0,27392,,,,AoAmerican,25975,25285,111,52832,,,
967,RT,Deanna311,728,590,5,19096,,,,ragstorm,24101,8929,34,210214,,,
968,Tweet,TrueJustus,37,179,0,102,,,,TrueJustus,24101,8929,34,210214,,,
969,RT,777_FFH,22236,21575,11,5244,,,,EquaJus3dom,19109,18645,5,1478,,,
970,RT,pilldrswife,35358,36071,4,45262,,,,buttersflykiss,20504,20766,5,17819,,,
971,Tweet,LessGovtC4,594,2623,3,6785,,,,LessGovtC4,20504,20766,5,17819,,,
972,RT,DesertHawk87,2792,4087,6,42099,,,,Adjustedwell,23738,22896,148,82739,,,
973,Tweet,CatvllvsVerona,4087,4259,6,34358,,,,CatvllvsVerona,23738,22896,148,82739,,,
974,RT,jamohio9719,6228,6852,100,85092,,,,TrueNewsGlobal,53323,53008,604,9010,,,
975,RT,gregghoulden,10984,11542,360,177446,,,,RockyWinston007,16737,12563,14,6723,,,
976,RT,EquaJus3dom,19109,18645,5,1478,,,,EquaJus3dom,19109,18645,5,1478,,,
977,RT,Maven4Trump,2193,2203,0,4429,,,,GlenWoodfin,74930,56608,899,73578,,,
978,RT,southgadiva,11264,10816,139,297227,,,,IWasHrren,62412,58807,54,165084,,,
979,RT,Labradoofus,206,349,0,230,,,,Adjustedwell,23738,22896,148,82739,,,
980,RT,bestemmalab,2090,2119,69,73372,,,,IWasHrren,62412,58807,54,165084,,,
981,Tweet,manuelaforster,17,40,1,141,,,,manuelaforster,62412,58807,54,165084,,,
982,RT,js_pittman,78,505,0,1686,,,,JoyLinPark,20271,19262,5,66505,,,
983,RT,Jim01Hall,4361,5000,15,29169,,,,Hiqutipie,138778,114611,1734,118800,,,
984,RT,Bart3825,797,1178,1,7443,,,,JoyLinPark,20271,19262,5,66505,,,
985,Tweet,Consrvs4Cannabs,1705,1822,1,17964,,,,Consrvs4Cannabs,20271,19262,5,66505,,,
986,RT,IWasHrren,62412,58807,54,165084,,,,IWasHrren,62412,58807,54,165084,,,
987,RT,Dawn_DeMore1,55904,21436,80,304624,,,,JoyLinPark,20271,19262,5,66505,,,
988,Tweet,DonPearson1952,5466,5949,6,11414,,,,DonPearson1952,20271,19262,5,66505,,,
989,Tweet,MichelleBoisve2,81,217,0,3962,,,,MichelleBoisve2,20271,19262,5,66505,,,
990,RT,ShaneLafollette,587,172,1,1291,,,,Adjustedwell,23738,22896,148,82739,,,
991,Tweet,HandymanCapitol,166,679,3,8926,,,,HandymanCapitol,23738,22896,148,82739,,,
992,RT,patricecross51,3463,4563,2,24175,,,,debragarrett,11650,2159,118,35312,,,
993,RT,nessie1036,232,170,1,11617,,,,Cocofritz,16809,15179,35,93536,,,
