,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
185,Tweet,smokingmirror11,431,557,0,47799,,,,smokingmirror11,89440,34400,180,101421,,,
186,Tweet,MareLouThom,382,553,1,15167,,,,MareLouThom,89440,34400,180,101421,,,
187,RT,Nedk30,2560,319,7,45334,,,,Mimirocah1,388492,2536,2160,12984,,,
188,RT,Rossie5231,6,19,0,2557,,,,Mimirocah1,388492,2536,2160,12984,,,
189,RT,DianeMccahon,1590,1809,1,59135,,,,BradMil67114539,830,858,1,12405,,,
190,RT,_LOVEINVAIN,1802,2009,63,201260,,,,emptywheel,220601,4308,4869,271462,,,
191,Tweet,HughesMikehues,151,265,1,9921,,,,HughesMikehues,220601,4308,4869,271462,,,
192,RT,Silva30ny,239,421,16,11186,,,,Mimirocah1,388492,2536,2160,12984,,,
193,Tweet,ScholarsMate,39,14,0,2792,,,,ScholarsMate,388492,2536,2160,12984,,,
194,RT,ReyesLC24,95,655,0,17106,,,,TrinityResists,89440,34400,180,101421,,,
195,Tweet,getradified,1823,2707,62,67799,,,,getradified,89440,34400,180,101421,,,
196,Tweet,JonAnde02623404,0,25,0,107,,,,JonAnde02623404,89440,34400,180,101421,,,
197,RT,ErinSnider10,14387,15800,26,138446,,,,Mimirocah1,388492,2536,2160,12984,,,
198,RT,austinart08,47,59,0,21701,,,,TrinityResists,89440,34400,180,101421,,,
199,RT,loud_broad,7083,7560,21,38491,,,,Mimirocah1,388492,2536,2160,12984,,,
200,RT,afergus3,102,672,0,6031,,,,Mimirocah1,388492,2536,2160,12984,,,
201,RT,BeverlyFolkers,13787,13653,220,302995,,,,Mimirocah1,388492,2536,2160,12984,,,
202,Tweet,IlNsp,4,18,0,383,,,,IlNsp,388492,2536,2160,12984,,,
203,Tweet,JSlabotsky,8,86,0,630,,,,JSlabotsky,388492,2536,2160,12984,,,
204,Tweet,MontanaMan618,126,95,6,12630,,,,MontanaMan618,388492,2536,2160,12984,,,
205,RT,NikkiDomini,243,1078,6,1986,,,,LarryLava4,101,44,1,11580,,,
206,RT,DianeOl64825469,61,217,7,7174,,,,TrinityResists,89440,34400,180,101421,,,
207,Tweet,CoherenceFan,504,1435,1,7365,,,,CoherenceFan,89440,34400,180,101421,,,
208,RT,AanelVictoria,930,677,67,87073,,,,Mimirocah1,388492,2536,2160,12984,,,
209,Tweet,johnqanontitor,2270,2087,4,303,,,,johnqanontitor,388492,2536,2160,12984,,,
210,Tweet,BradMil67114539,830,858,1,12405,,,,BradMil67114539,388492,2536,2160,12984,,,
211,RT,BernardMcEldown,3222,4068,190,337462,,,,Mimirocah1,388492,2536,2160,12984,,,
212,Tweet,waffles137,27,98,0,7180,,,,waffles137,388492,2536,2160,12984,,,
213,RT,750AeroChick,301,1069,3,7772,,,,Mimirocah1,388492,2536,2160,12984,,,
214,Tweet,iphonenick,381,485,6,14350,,,,iphonenick,388492,2536,2160,12984,,,
215,RT,isearch4sanity,98,244,0,70131,,,,Mimirocah1,388492,2536,2160,12984,,,
216,Tweet,UriHayashi,285,390,0,6395,,,,UriHayashi,388492,2536,2160,12984,,,
217,RT,mountainmama91,1193,245,1,73957,,,,emptywheel,220601,4308,4869,271462,,,
218,RT,bjakuc,140,456,5,4120,,,,emptywheel,220601,4308,4869,271462,,,
219,Tweet,thecarter_mills,3,1,0,68,,,,thecarter_mills,220601,4308,4869,271462,,,
220,RT,xelpho2,274,391,1,24785,,,,Mimirocah1,388492,2536,2160,12984,,,
221,Tweet,chuck_stransky,194,784,1,7523,,,,chuck_stransky,388492,2536,2160,12984,,,
222,RT,KevinCo49930738,188,353,0,204,,,,TrinityResists,89440,34400,180,101421,,,
223,RT,GaryPet48363027,133,381,0,10565,,,,RachelandWolf,191,154,2,4871,,,
224,RT,AdelH54,1462,2115,0,11633,,,,Mimirocah1,388492,2536,2160,12984,,,
225,Tweet,DarlaDawnDD,2116,2466,0,3252,,,,DarlaDawnDD,388492,2536,2160,12984,,,
226,RT,kimfike12,24553,26846,9,116659,,,,RachelandWolf,191,154,2,4871,,,
227,RT,kjulieoconnor,155,395,1,35970,,,,Mimirocah1,388492,2536,2160,12984,,,
228,Tweet,jmwhit47,925,2188,0,6437,,,,jmwhit47,388492,2536,2160,12984,,,
